mep_id,parliamentary_term,start_date,end_date,political_group
1435,10,1989-07-25,1994-07-18,Group of the European Democratic Alliance
1435,1,1979-07-17,1984-07-23,Group of European Progressive Democrats
1435,2,1984-07-24,1989-07-24,Group of the European Democratic Alliance
1435,3,1989-07-25,1994-07-18,Group of the European Democratic Alliance
1748,10,1984-07-24,1987-11-15,Group of the European Right
1748,10,1987-11-16,1988-07-31,Group of the European Right
1748,2,1984-07-24,1987-11-15,Group of the European Right
1748,2,1987-11-16,1988-07-31,Group of the European Right
1450,10,1994-07-19,1999-07-19,"Group of the European Liberal, Democrat and Reform Party"
1450,2,1984-07-24,1985-12-12,Liberal and Democratic Group
1450,2,1985-12-13,1989-07-24,Liberal and Democratic Reformist Group
1450,3,1989-07-25,1994-07-18,Liberal and Democratic Reformist Group
1450,4,1994-07-19,1999-07-19,"Group of the European Liberal, Democrat and Reform Party"
28175,10,2004-07-20,2009-07-13,Socialist Group in the European Parliament
28175,6,2004-07-20,2009-07-13,Socialist Group in the European Parliament
28359,10,2004-07-20,2009-07-13,Non-attached Members
28359,6,2004-07-20,2009-07-13,Non-attached Members
185340,10,2016-10-24,2019-07-01,Group of the European People's Party (Christian Democrats)
185340,8,2016-10-24,2019-07-01,Group of the European People's Party (Christian Democrats)
34174,10,2005-07-28,2006-06-25,Group of the European People's Party (Christian Democrats) and European Democrats
34174,10,2006-06-26,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
34174,6,2005-07-28,2006-06-25,Group of the European People's Party (Christian Democrats) and European Democrats
34174,6,2006-06-26,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
4462,10,2009-07-14,2014-06-30,Group of the European People's Party (Christian Democrats)
4462,5,1999-07-20,2004-07-19,Group of the European People's Party (Christian Democrats) and European Democrats
4462,7,2009-07-14,2014-06-30,Group of the European People's Party (Christian Democrats)
36394,10,2006-05-08,2009-07-13,Group of the Alliance of Liberals and Democrats for Europe
36394,6,2006-05-08,2009-07-13,Group of the Alliance of Liberals and Democrats for Europe
2216,10,1994-07-19,1996-11-10,Europe of Nations Group (Coordination Group)
2216,10,1996-11-11,1997-01-12,Non-attached
2216,10,1997-01-13,1999-07-19,Group of Independents for a Europe of Nations
2216,4,1994-07-19,1996-11-10,Europe of Nations Group (Coordination Group)
2216,4,1996-11-11,1997-01-12,Non-attached
2216,4,1997-01-13,1999-07-19,Group of Independents for a Europe of Nations
1569,10,1984-07-24,1987-11-15,Group of the European Right
1569,10,1987-11-16,1989-07-24,Non-attached
1569,1,1979-07-17,1984-07-23,Group of the European People's Party (Christian-Democratic Group)
1569,2,1984-07-24,1987-11-15,Group of the European Right
1569,2,1987-11-16,1989-07-24,Non-attached
679,10,1983-05-27,1983-07-24,Group of European Progressive Democrats
679,1,1983-05-27,1983-07-24,Group of European Progressive Democrats
197461,10,2024-07-16,,Group of the Greens/European Free Alliance
197461,9,2019-07-02,2024-07-15,Group of the Greens/European Free Alliance
8,10,1991-04-23,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
8,3,1991-04-23,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
2232,10,1994-07-19,1999-07-19,Group of the Party of European Socialists
2232,4,1994-07-19,1999-07-19,Group of the Party of European Socialists
124830,10,2014-07-01,2016-04-11,European Conservatives and Reformists Group
124830,10,2016-04-12,2016-04-30,Non-attached Members
