mep_id,first_name,last_name,gender,date_of_birth,date_of_death,hometown,country_of_representation
28150,Kinga,Gál,FEMALE,,,Kolozsvár,HUN
4746,Sergio,Berlato,MALE,1959-07-27,,MARANO VICENTINO,ITA
257258,Ivaylo,Valchev,MALE,,,,BGR
257083,João,Oliveira,MALE,1979-07-09,,Évora,PRT
257092,Hanna,Gedin,FEMALE,1978-03-11,,,SWE
197545,Bogdan,Rzońca,MALE,1961-02-01,,Zarzecze,POL
197802,Ville,Niinistö,MALE,1976-07-30,,Turku,FIN
197464,Hannah,Neumann,FEMALE,1984-04-03,,Speyer,DEU
233862,Matjaž,Nemec,MALE,1980-04-10,,Šempeter pri Gorici,SVN
30482,Younous,Omarjee,MALE,1969-09-30,,Saint-Denis (Réunion),FRA
257102,Giorgio,Gori,MALE,1960-03-24,,Bergamo,ITA
103246,Auke,Zijlstra,MALE,1964-11-01,,Haskerland,NLD
257005,Ľuboš,Blaha,MALE,1979-12-07,,Bratislava,SVK
257135,Valentina,Palmisano,FEMALE,1983-01-24,,Brindisi,ITA
257119,Şerban Dimitrie,Sturdza,MALE,1967-03-30,,Bucarest,ROU
236050,Marie,Dauchy,FEMALE,1987-02-05,,Calais,FRA
256919,Christophe,Gomart,MALE,1960-06-20,,Saumur,FRA
197591,Irene,Tinagli,FEMALE,1974-04-16,,Empoli,ITA
96812,Juan Fernando,López Aguilar,MALE,1961-06-10,,Las Palmas,ESP
197701,Konstantinos,Arvanitis,MALE,1964-06-09,,Athens,GRC
256957,Mary,Khan,FEMALE,1994-06-25,,Frankfurt am Main,DEU
256884,Kris,Van Dijck,MALE,1963-10-02,,Turnhout,BEL
96752,Martin,Häusling,MALE,1961-03-26,,Bad Wildungen,DEU
257061,Ana,Vasconcelos,FEMALE,1985-03-14,,"Terceira, Açores",PRT
257297,Barry,Cowen,MALE,1967-08-28,,Dublin,IRL
220897,Petra,Steger,FEMALE,1987-10-04,,Vienna,AUT
256980,Alexandra,Mehnert,FEMALE,1974-08-06,,Magdeburg,DEU
261797,Christophe,Bay,MALE,1962-09-06,,Vincennes,FRA
197863,Maria,Walsh,FEMALE,1987-06-11,,Boston,IRL
28617,Inese,Vaidere,FEMALE,1952-09-03,,Jelgava,LVA
118949,Ondřej,Kovařík,MALE,1980-08-21,,KYJOV,CZE
197662,Vangelis,Meimarakis,MALE,1953-12-14,,ATHINA,GRC
229839,René,Repasi,MALE,1979-11-08,,Karlsruhe,DEU
256970,Raquel,García Hermida-Van Der Walle,FEMALE,1983-05-28,,Madrid,NLD
204346,Dominik,Tarczyński,MALE,,,Lublin,POL
204333,Salvatore,De Meo,MALE,1971-10-27,,Fondi,ITA
96756,Sabine,Verheyen,FEMALE,1964-10-24,,Aachen,DEU
