vote_id,label
1,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 3 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
2,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 4 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
3,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 5 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
4,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 6 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
5,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 7 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
6,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 9 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
7,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 10 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
8,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 11 to Article 1 Section 1 of Regulation 2023/1115 (before point 1))
9,Deforestation Regulation: provisions relating to the date of application ***I (Amendment 12 to Article 1 Section 1 of Regulation 2023/1115 (after point 1))
10,Deforestation Regulation: provisions relating to the date of application ***I (Commission proposal)
11,Electronic value added tax exemption certificate * (Commission proposal)
12,Faster and Safer Relief of Excess Withholding Taxes * (Commission proposal)
13,Amendment of the EIB’s Statute * (to)
14,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 10 to Section 1)"
15,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 11 to Section 1)"
16,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 12 to Section 41)"
17,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 13 to Section 41)"
18,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 5 to Section 48)"
19,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 14 to Section 56)"
20,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (to Section 66)"
21,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (to Section 72)"
22,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 6 to Section 83)"
23,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (to Section 95)"
24,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 1 to Section 131)"
25,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 9 to)"
26,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 3 to)"
27,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (Amendment 4 to)"
28,"UN Climate Change Conference 2024 in Baku, Azerbaijan (COP29) (to)"
29,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (Amendment 1 to Section 1)
30,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (Amendment 2 to Section 2)
31,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (Amendment 3 to Section 2)
32,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (Amendment 4 to Section 4)
33,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (to Section 15)
34,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (Amendment 6 to Section 15)
35,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (to Section 16)
36,EU actions against the Russian shadow fleets and ensuring a full enforcement of sanctions against Russia (Amendment 5 to)
