vote_id,date,label,code,committee_responsible,rapporteur
169367,2024-07-17,Wednesday’s agenda – Request by The Left Group (to),,,
169368,2024-07-17,Wednesday’s agenda – Request by the PfE Group (to),,,
169338,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 1 to Section 1),,,
169340,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 3),,,
169342,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 6 to Section 3),,,
169343,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 7 to Section 3),,,
169345,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 4),,,
169346,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 4),,,
169347,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 4),,,
169348,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 9 to Section 5),,,
169350,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169351,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169352,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169353,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169354,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169355,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169356,2024-07-17,The need for the EU's continuous support for Ukraine (to Section 5),,,
169357,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 10 to Section 8),,,
169358,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 11 to Section 8),,,
169359,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 12 to Section 8),,,
169360,2024-07-17,The need for the EU's continuous support for Ukraine (Amendment 13 to Section 9),,,
169361,2024-07-17,The need for the EU's continuous support for Ukraine (to),,,
169362,2024-07-17,The need for the EU's continuous support for Ukraine (to),,,
169385,2024-07-18,Request by The Left Group – Motion for adjournment of the vote on the election of the President of the Commission (to),,,
169406,2024-09-16,Tuesday’s agenda – Request by the PfE Group (to),,,
169407,2024-09-16,Wednesday’s agenda – Request by the ECR Group (to),,,
169418,2024-09-18,"Objection pursuant to Rule 115(2) and (3), and Rule 115(4)(c): Maximum residue levels for carbendazim and thiophanate-methyl (to)",,,
169419,2024-09-18,"Objection pursuant to Rule 115(2) and (3), and Rule 115(4)(c): Maximum residue levels for cyproconazole (to)",,,
169555,2024-09-19,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’ (to Section 7),,,
169558,2024-09-19,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’ (to Section 8),,,
169559,2024-09-19,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’ (Amendment 2 to Section 8),,,
169560,2024-09-19,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’ (Amendment 3 to Section 8),,,
169564,2024-09-19,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’ (Amendment 1 to),,,
169565,2024-09-19,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’ (to),,,
169543,2024-09-19,The severe situation of political prisoners in Belarus (Amendment 1 to Section 6),,,
169544,2024-09-19,The severe situation of political prisoners in Belarus (to),,,
169534,2024-09-19,The case of José Daniel Ferrier García in Cuba (Amendment 4 to Section 6),,,
169535,2024-09-19,The case of José Daniel Ferrier García in Cuba (to Section 6),,,
169536,2024-09-19,The case of José Daniel Ferrier García in Cuba (Amendment 3 to Section 6),,,
169537,2024-09-19,The case of José Daniel Ferrier García in Cuba (Amendment 5 to Section 6),,,
