vote_id,code,interinstitutional_file_no,label,date,committee_responsible
38679,0,0,Tuesday - request by the GUE/NGL group,2019-07-15,No Committee
38680,RC-B9-0014/2019,2019/2733/RSP,Situation at the USA-Mexican border,2019-07-18,No Committee
38681,RC-B9-0014/2019,2019/2733/RSP,Situation at the USA-Mexican border,2019-07-18,No Committee
38682,RC-B9-0014/2019,2019/2733/RSP,Situation at the USA-Mexican border,2019-07-18,No Committee
38683,RC-B9-0014/2019,2019/2733/RSP,Situation at the USA-Mexican border,2019-07-18,No Committee
38684,RC-B9-0014/2019,2019/2733/RSP,Situation at the USA-Mexican border,2019-07-18,No Committee
38685,RC-B9-0012/2019,2019/2734/RSP,"Russia, notably the situation of environmental activists and Ukrainian political prisoners",2019-07-18,No Committee
38686,RC-B9-0006/2019,2019/2730/RSP,Situation in Venezuela,2019-07-18,No Committee
38687,RC-B9-0006/2019,2019/2730/RSP,Situation in Venezuela,2019-07-18,No Committee
38688,RC-B9-0006/2019,2019/2730/RSP,Situation in Venezuela,2019-07-18,No Committee
38689,0,0,Changes to the agenda - request by Greens/EFA and GUE/NGL,2019-09-16,No Committee
38690,0,0,Changes to the agenda - request by ID and GUE/NGL,2019-09-16,No Committee
38691,0,0,Changes to the agenda - request by EPP,2019-09-16,No Committee
38692,A9-0003/2019,2019/0806/CNS,Launch of automated data exchange with regard to vehicle registration data in Ireland,2019-09-17,"Civil Liberties, Justice and Home Affairs"
38693,A9-0005/2019,2019/2021/BUD,Draft Amending budget No 1/2019: surplus from 2018,2019-09-18,Budgets
38694,A9-0004/2019,2019/2022/BUD,Draft Amending budget No 2/2019: reinforcement of key programme for EU competitiveness: Horizon 2020 and Erasmus+,2019-09-18,Budgets
38695,A9-0002/2019,2019/2023/BUD,"Mobilisation of the European Union Solidarity Fund to provide assistance to Romania, Italy and Austria ",2019-09-18,Budgets
38696,A9-0006/2019,2019/2024/BUD,"Draft Amending budget No 3/2019: proposal to mobilise the European Union Solidarity Fund to provide assistance to Romania, Italy and Austria ",2019-09-18,Budgets
38697,A9-0001/2019,2019/2036/BUD,Mobilisation of the European Globalisation Adjustment Fund - EGF/2019/000 TA 2019 - Technical assistance at the initiative of the Commission,2019-09-18,Budgets
38698,B9-0038/2019,2019/2817/RSP,The UK's withdrawal from the EU,2019-09-18,No Committee
38699,B9-0038/2019,2019/2817/RSP,The UK's withdrawal from the EU,2019-09-18,No Committee
38700,B9-0038/2019,2019/2817/RSP,The UK's withdrawal from the EU,2019-09-18,No Committee
38701,RC-B9-0049/2019,2019/2821/RSP,"Situation in Turkey, notably the removal of elected mayors",2019-09-19,No Committee
38702,RC-B9-0049/2019,2019/2821/RSP,"Situation in Turkey, notably the removal of elected mayors",2019-09-19,No Committee
38703,RC-B9-0089/2019,2019/2823/RSP,"Iran, notably the situation of women's rights defenders and imprisoned EU dual nationals",2019-09-19,No Committee
38704,RC-B9-0089/2019,2019/2823/RSP,"Iran, notably the situation of women's rights defenders and imprisoned EU dual nationals ",2019-09-19,No Committee
38705,RC-B9-0089/2019,2019/2823/RSP,"Iran, notably the situation of women's rights defenders and imprisoned EU dual nationals ",2019-09-19,No Committee
38706,RC-B9-0097/2019,2019/2819/RSP,Importance of European remembrance for the future of Europe ,2019-09-19,No Committee
38707,RC-B9-0097/2019,2019/2819/RSP,Importance of European remembrance for the future of Europe ,2019-09-19,No Committee
38708,RC-B9-0097/2019,2019/2819/RSP,Importance of European remembrance for the future of Europe ,2019-09-19,No Committee
38709,RC-B9-0097/2019,2019/2819/RSP,Importance of European remembrance for the future of Europe ,2019-09-19,No Committee
38710,RC-B9-0097/2019,2019/2819/RSP,Importance of European remembrance for the future of Europe ,2019-09-19,No Committee
38711,RC-B9-0097/2019,2019/2819/RSP,Importance of European remembrance for the future of Europe ,2019-09-19,No Committee
38712,B9-0045/2019,2019/2820/RSP,State of implementation of anti-money laundering legislation,2019-09-19,No Committee
38713,B9-0045/2019,2019/2820/RSP,State of implementation of anti-money laundering legislation ,2019-09-19,No Committee
38714,B9-0045/2019,2019/2820/RSP,State of implementation of anti-money laundering legislation ,2019-09-19,No Committee
38715,B9-0045/2019,2019/2820/RSP,State of implementation of anti-money laundering legislation ,2019-09-19,No Committee
38716,B9-0045/2019,2019/2820/RSP,State of implementation of anti-money laundering legislation ,2019-09-19,No Committee
38717,0,0,Changes to the agenda - request by GUE/NGL and Greens/EFA,2019-10-09,No Committee
38718,0,0,Changes to the agenda - request by EPP,2019-10-09,No Committee
38719,A9-0009/2019,2019/0807/CNS,Eurojust and Serbia Cooperation Agreement,2019-10-10,"Civil Liberties, Justice and Home Affairs"
38720,A9-0012/2019,2019/2037/BUD,Draft Amending budget No 4/2019: reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources),2019-10-10,Budgets
38721,A9-0012/2019,2019/2037/BUD,Draft Amending budget No 4/2019: reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources),2019-10-10,Budgets
38722,A9-0013/2019,2019/2039/BUD,"Adjustments to the amounts mobilised from the Flexibility Instrument for 2019 to be used for migration, refugee inflows and security threats",2019-10-10,Budgets
38723,B9-0103/2019,2019/2825/RSP,"Objection pursuant to Rule 112: Active substances, including flumioxazine",2019-10-10,"Environment, Public Health and Food Safety"
38724,B9-0104/2019,2019/2826/RSP,"Objection pursuant to Rule 112: Active substances, including chlorotoluron",2019-10-10,"Environment, Public Health and Food Safety"
38725,B9-0107/2019,2019/2830/RSP,Objection pursuant to Rule 112: Genetically modified maize MZHG0JG (SYN-ÃÃÃJG-2),2019-10-10,"Environment, Public Health and Food Safety"
38726,B9-0105/2019,2019/2828/RSP,Objection pursuant to Rule 112: Genetically modified soybean A2704-12 (ACS-GMÃÃ5-3),2019-10-10,"Environment, Public Health and Food Safety"
38727,B9-0106/2019,2019/2829/RSP,"Objection pursuant to Rule 112: Genetically modified maize MON 89034 Ã 1507 Ã MON 88017 Ã 59122 Ã DAS-40278-9 and genetically modified maize combining two, three or four of the single events MON 89034, 1507, MON 88017, 59122 and DAS-40278-9",2019-10-10,"Environment, Public Health and Food Safety"
38728,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38729,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38730,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38731,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38732,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38733,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38734,B9-0108/2019,2019/2810/RSP,Foreign electoral interference and disinformation in national and European democratic processes,2019-10-10,No Committee
38735,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38736,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38737,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38738,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38739,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38740,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38741,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38742,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38743,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38744,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38745,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38746,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38747,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38748,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38749,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38750,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38751,B9-0110/2019,2019/2833/RSP,Multiannual Financial Framework 2021-2027 and own resources: time to meet citizens' expectations,2019-10-10,No Committee
38752,A9-0016/2019,2019/2111/INI,Employment and social policies of the euro area,2019-10-10,Employment and Social Affairs
38753,A9-0016/2019,2019/2111/INI,Employment and social policies of the euro area,2019-10-10,Employment and Social Affairs
38754,A9-0016/2019,2019/2111/INI,Employment and social policies of the euro area,2019-10-10,Employment and Social Affairs
38755,A9-0016/2019,2019/2111/INI,Employment and social policies of the euro area,2019-10-10,Employment and Social Affairs
38756,0,0,Changes to the agenda - request by S&D,2019-10-21,No Committee
38757,0,0,Changes to the agenda - request by EPP,2019-10-21,No Committee
38758,0,0,Changes to the agenda - request by GUE/NGL,2019-10-21,No Committee
38759,0,0,Changes to the agenda - request by GUE/NGL,2019-10-21,No Committee
38760,0,0,Changes to the agenda - request by ID ,2019-10-21,No Committee
38761,A9-0015/2019,2019/0180/COD,European Globalisation Adjustment Fund (2014-2020),2019-10-22,Employment and Social Affairs
38762,A9-0014/2019,2019/0187/COD,Fishing authorisations for Union fishing vessels in United Kingdom waters and fishing operations of United Kingdom fishing vessels in Union waters,2019-10-22,Fisheries
38763,A9-0018/2019,2019/0186/APP,Implementation and financing of the EU general budget in 2020 in relation to the UK's withdrawal from the EU,2019-10-22,Budgets
38764,C9-0108/2019,2019/0179/COD,Periods of application of Regulation (EU) 2019/501 and Regulation (EU) 2019/502,2019-10-22,Transport and Tourism
38765,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38766,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38767,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38768,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38769,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38770,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38771,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38772,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
