vote_id,mep_id,vote_type
169367,257005,For
169367,257067,For
169367,124858,For
169367,256851,For
169367,25758,For
169367,256939,For
169367,257007,For
169367,23699,For
169367,198373,For
169367,249982,For
169367,197734,For
169367,125093,For
169367,256969,For
169367,96653,For
169367,256967,For
169367,257296,For
169367,256866,For
169367,197863,For
169367,256869,For
169367,197400,For
169367,204332,For
169367,197447,For
169367,256976,For
169367,202073,For
169367,124867,For
169367,197435,For
169367,112748,For
169367,197440,For
169367,257002,For
169367,245018,For
169367,38542,For
169367,257087,For
169367,33998,For
169367,237465,For
169367,257088,For
169367,256906,For
169367,197391,For
169367,28298,For
169367,197694,For
169367,257079,For
169367,197718,For
169367,257102,For
169367,256803,For
169367,197392,For
169367,256992,For
169367,197697,For
169367,256899,For
169367,230085,For
169367,197721,For
169367,197719,For
169367,91636,For
169367,257727,For
169367,124691,For
169367,257053,For
169367,197497,For
169367,28347,For
169367,124799,For
169367,233862,For
169367,124836,For
169367,256993,For
169367,112744,For
169367,256935,For
169367,218347,For
169367,257121,For
169367,256904,For
169367,257066,For
169367,204413,For
169367,257170,For
169367,197722,For
169367,37312,For
169367,257084,For
169367,96932,For
169367,257085,For
169367,257101,For
169367,257160,For
169367,257071,For
169367,210480,For
169367,197591,For
169367,34232,For
169367,199941,For
169367,28419,For
169367,257138,For
169367,197533,For
169367,197684,For
169367,187917,For
169367,124984,For
169367,197574,For
169367,197529,For
169367,257023,For
169367,256961,For
169367,256823,For
169367,256913,For
169367,257299,For
169367,257092,For
169367,256912,For
169367,125023,For
169367,256890,For
169367,257063,For
169367,245770,For
169367,257083,For
169367,30482,For
169367,257126,For
169367,256911,For
169367,257127,For
169367,127766,For
169367,257009,For
169367,2268,For
169367,256910,For
169367,124813,For
169367,257133,For
169367,197448,For
169367,197449,For
169367,256995,For
169367,197470,For
169367,256915,For
169367,86793,For
169367,197503,For
169367,96725,For
169367,106936,For
169367,183916,For
169367,197549,For
169367,257130,For
169367,197398,For
169367,197395,For
169367,197460,For
169367,197461,For
169367,96675,For
169367,197462,For
169367,257016,For
169367,24942,For
169367,197464,For
169367,197802,For
169367,257044,For
169367,198076,For
169367,2152,For
169367,197466,For
169367,197573,For
169367,256813,For
169367,103381,For
169367,197832,For
169367,256964,For
169367,197500,For
169367,256917,For
169367,201945,For
169367,111412,For
169367,197772,For
169367,256990,For
169367,256965,For
169367,257437,For
169367,197501,Against
169367,257096,Against
169367,257093,Against
169367,257094,Against
169367,96810,Against
169367,197607,Against
169367,197794,Against
169367,256900,Against
169367,220871,Against
169367,256845,Against
169367,257149,Against
169367,197824,Against
169367,239260,Against
169367,257150,Against
169367,256907,Against
169367,197820,Against
169367,257104,Against
169367,197773,Against
169367,257113,Against
169367,257109,Against
169367,257116,Against
169367,257163,Against
169367,256806,Against
169367,257099,Against
169367,256811,Against
169367,197537,Against
169367,197552,Against
169367,197475,Against
169367,256949,Against
169367,256942,Against
169367,257043,Against
169367,113523,Against
169367,96808,Against
169367,24922,Against
169367,197492,Against
169367,197534,Against
169367,197408,Against
169367,197778,Against
169367,251324,Against
169367,204129,Against
169367,125012,Against
169367,257047,Against
169367,257051,Against
169367,28122,Against
169367,256921,Against
169367,124861,Against
169367,257034,Against
169367,257078,Against
169367,257028,Against
169367,256862,Against
169367,257030,Against
